siret,nom,effectif,activite_label,naf,code_postal,commune,departement,region,date_creation,nb_etablissements_ouverts,email,site_web,instagram
91833967200019,SAS TPO,NN,Autre transformation et conservation de légumes,10.39A,75013,PARIS,75,11,2022-07-19,3,,,
50271192200042,AGNES AMAUDRIC DU CHAFFAUT (FAUDOU),NN,Autre transformation et conservation de légumes,10.39A,04800,GREOUX-LES-BAINS,04,93,2020-07-01,3,,,
80111814200026,PAUL PETTIGREW (LES EMBELLIES),NN,Autre transformation et conservation de légumes,10.39A,26000,VALENCE,26,84,2015-03-20,2,,,
89390136300018,TERRA DOUCEURS (TERRA DOUCEURS),01,Autre transformation et conservation de légumes,10.39A,69390,CHARLY,69,84,2021-03-01,2,,,
85072649800056,KEDELAI (KEDELAI),01,Autre transformation et conservation de légumes,10.39A,75018,PARIS,75,11,2023-09-01,2,,,
90182742800011,LA P'TITE SOUPE,NN,Autre transformation et conservation de légumes,10.39A,85430,AUBIGNY-LES CLOUZEAUX,85,52,2021-08-07,2,,,
82773654700031,MARIA DA LUZ BLONDEL DA COSTA,NN,Autre transformation et conservation de légumes,10.39A,47370,ANTHE,47,75,2022-07-01,2,,,
84090784400012,CONSERVERIE DES ALPES,NN,Autre transformation et conservation de légumes,10.39A,73230,VEREL-PRAGONDRAN,73,84,2018-07-05,2,,,
88351742700018,MAMIE ZINZIN,NN,Autre transformation et conservation de légumes,10.39A,33360,QUINSAC,33,75,2020-06-01,2,,,
93469763200024,AVE RACINE,NN,Autre transformation et conservation de légumes,10.39A,13007,MARSEILLE 7EME,13,93,2025-01-23,2,,,
93780378100015,SL EPICURUS (VANILIO),NN,Autre transformation et conservation de légumes,10.39A,97120,SAINT-CLAUDE,971,01,2024-11-15,2,,,
10274950400019,MERCI BOCO,NN,Autre transformation et conservation de légumes,10.39A,93100,MONTREUIL,93,11,2026-03-01,1,,,
34345198500067,LE GOURMET FOREZIEN,02,Autre transformation et conservation de légumes,10.39A,42350,LA TALAUDIERE,42,84,2017-08-01,1,,,
34453590100039,CHRISTINE BEYER (BEDON) (LES CONDIMENTS DE LA DOIE),NN,Autre transformation et conservation de légumes,10.39A,79370,CELLES-SUR-BELLE,79,75,2011-01-01,1,,,
89409796300017,L'ARBOCAL,01,Autre transformation et conservation de légumes,10.39A,67340,WEITERSWILLER,67,44,2021-02-01,1,,,
89276925800013,EURL LEBLANC CHRISTOPHE (LE CLOS DU MAINE),01,Autre transformation et conservation de légumes,10.39A,53170,ARQUENAY,53,52,2021-01-11,1,,,
85078145100016,L'ETUVERIE (L'ETUVERIE),01,Autre transformation et conservation de légumes,10.39A,32380,CADEILHAN,32,76,2019-05-04,1,,,
